,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel_numeric,Food and dishes_numeric,Commodities and groceries_numeric,Productivity; gadgets and technology_numeric,Lifestyle; beauty and clothing_numeric,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
233,35-54,Male,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,450,50,8000,150,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Indifferent,Online,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,2,2,1,1,1,3,4,1,1
234,18-24,Male,Mumbai,"Below Rs. 50,000",No,350,400,40,10000,120,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,0,1,1,0,1,1,1,1,0,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,2,2,2,1,2,5,5,1,1
235,25-34,Female,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",400,400,90,2000,110,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,1,1,1,1,1,1,1,Digital,Online,Indifferent,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,2,1,1,1,1,4,4,3,3
236,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,350,125,3000,125,Fairly Charged,Fairly Charged,Undercharged,Fairly Charged,Fairly Charged,1,1,1,1,0,1,1,1,1,1,Indifferent,Indifferent,Indifferent,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,1,1,0,1,1,3,3,3,2
237,25-34,Female,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",500,400,105,2750,85,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Fairly Charged,1,1,1,0,1,1,1,1,0,1,Digital,Online,Spontaneous,More Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,1,1,2,2,1,4,4,4,4
238,25-34,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,300,60,3000,85,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,1,0,1,0,0,Digital,Online,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,2,2,2,2,5,5,1,4
239,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,250,45,2500,75,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,0,1,1,0,0,1,1,1,1,1,Cash,Offline,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Accurate,Underestimated,Underestimated,2,1,2,1,2,2,2,2,2
240,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",350,450,50,10000,100,Overcharged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,0,1,1,0,1,1,1,1,0,1,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,2,2,2,1,1,4,3,1,5
241,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",250,350,50,15000,200,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,1,1,1,1,0,1,Cash,Offline,Spontaneous,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,2,2,1,1,2,2,2,4,1
242,18-24,Male,Mumbai,"Rs. 50,000- 2,00,000",No,300,400,40,20000,100,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,1,1,1,1,1,1,Indifferent,Offline,Spontaneous,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,2,2,3,2,5,1
243,18-24,Male,Mumbai,"Rs. 2,00,000- 5,00,000",No,350,400,50,15000,200,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,1,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,2,1,1,1,2,5,4,5,1
244,18-24,Male,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,400,40,8000,100,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,2,2,1,1,1,5,5,4,2
245,25-34,Female,Other,"Below Rs. 50,000",No,200,200,40,10000,100,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,0,0,1,1,0,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,2,2,2,1,2,4,5,4,2
246,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,400,40,12000,120,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,0,1,1,1,1,0,1,Digital,Offline,Pre Planned,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,1,2,1,1,2,5,2,2,5
247,25-34,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",400,350,80,10000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,No Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,1,1,2,1,5,2,2,2
248,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,350,300,75,8000,70,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Offline,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,No Time,Overestimated,Accurate,Overestimated,Accurate,Underestimated,1,2,1,1,1,5,2,3,4
249,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000",No,200,350,80,6000,150,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,0,1,1,1,1,1,1,1,1,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,1,2,1,1,2,5,3,1,4
250,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,300,70,5000,200,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,1,1,1,2,2,4,5,4,5
251,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",250,500,30,20000,700,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,2,2,1,2,2,5,5,4,4
252,18-24,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",500,250,30,12000,100,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,0,1,1,1,0,1,1,1,1,1,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Accurate,Underestimated,Overestimated,Underestimated,1,2,2,1,1,4,3,4,3
253,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",250,500,40,16000,300,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,0,0,0,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,1,1,1,2,5,3,1,2
254,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,400,40,20000,150,Overcharged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,0,0,0,1,1,0,1,Digital,Online,,Less Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,2,1,5,4,,2
255,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,280,600,40,15000,350,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,1,1,0,0,0,0,1,Indifferent,Indifferent,Spontaneous,Less Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,1,1,2,2,3,3,4,2
256,18-24,Male,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,50,25000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,0,0,0,1,Digital,Online,,,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Overestimated,Overestimated,1,1,1,1,2,5,4,,
257,25-34,Female,Other,"Below Rs. 50,000",No,250,320,30,18000,200,Overcharged,Fairly Charged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,0,Digital,Offline,Pre Planned,,0.2,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Overestimated,Underestimated,Overestimated,Underestimated,2,1,2,2,2,4,2,1,
258,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",130,150,70,7000,300,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,0,1,1,1,0,0,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Underestimated,Underestimated,Overestimated,Accurate,Accurate,2,1,1,2,2,5,5,5,1
259,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,350,400,35,15000,130,Overcharged,Fairly Charged,Overcharged,Overcharged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Offline,Indifferent,More Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,2,1,2,2,1,5,2,3,5
260,25-34,Female,Other,"Rs. 50,000- 2,00,000",No,300,300,40,20000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,1,1,1,2,2,5,3,4,4
261,18-24,Female,Other,"Below Rs. 50,000","Yes, but only for myself",270,400,80,9500,400,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,0,1,0,0,1,1,1,1,1,Digital,Online,Indifferent,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Overestimated,Overestimated,Accurate,Overestimated,1,1,1,2,2,5,5,3,3
262,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",270,300,100,9000,350,Undercharged,Fairly Charged,Undercharged,Fairly Charged,Overcharged,1,0,1,1,0,1,0,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,0,1,0,1,2,5,4,4,4
263,18-24,Male,Mumbai,"Below Rs. 50,000","Yes, but only for myself",250,300,80,7500,340,Undercharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,0,0,0,1,1,1,1,1,Digital,Online,Indifferent,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Accurate,Overestimated,Accurate,Accurate,0,1,1,1,2,4,4,3,4
264,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",300,250,80,8000,340,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,0,1,1,1,1,1,Digital,Online,Indifferent,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,1,2,2,5,4,3,4
265,25-34,Male,Kolkata,"Below Rs. 50,000","Yes, but only for myself",250,300,80,8000,350,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,1,0,1,1,1,1,0,Digital,Online,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,2,1,1,1,2,5,5,3,4
266,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",270,250,80,7500,350,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,0,1,1,1,0,1,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,1,2,2,5,3,4,3
267,25-34,Female,Other,"Below Rs. 50,000","Yes, but only for myself",300,300,80,8000,340,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,1,1,1,1,1,1,Digital,Online,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,1,1,1,5,5,3,5
268,35-54,Female,Mumbai,"Rs. 50,000- 2,00,000",,300,250,80,7000,340,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,0,1,1,0,0,1,1,1,1,1,Indifferent,Offline,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,2,1,2,3,2,1,2
269,25-34,Male,Bangalore,"Below Rs. 50,000",No,250,400,100,6000,350,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,0,0,1,1,1,1,1,Digital,Online,,,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Accurate,1,1,1,1,1,5,5,,
270,55+,Female,Mumbai,"Below Rs. 50,000","Yes, for the whole household",300,250,50,8000,340,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,1,1,2,2,5,5,5,5
271,35-54,Female,Other,"Below Rs. 50,000","Yes, for the whole household",250,300,50,7000,350,Fairly Charged,Overcharged,Undercharged,Fairly Charged,Overcharged,0,1,1,1,0,1,1,1,1,0,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,No Time,Accurate,Accurate,Overestimated,Accurate,Accurate,1,2,0,1,2,5,2,2,2
272,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,550,35,22000,650,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,1,5,4,2,2
273,18-24,Female,Mumbai,"Below Rs. 50,000",No,200,450,70,3500,250,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,1,1,1,1,1,1,Indifferent,Online,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,No Time,Accurate,Overestimated,Overestimated,Underestimated,Accurate,2,2,1,1,1,3,4,3,2
274,18-24,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",200,300,40,21000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,1,0,1,0,0,1,1,Digital,Indifferent,Spontaneous,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,1,1,1,2,2,5,3,4,2
275,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,350,500,45,15000,450,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,2,1,1,1,2,5,5,5,5
276,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,500,50,11000,150,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,2,1,1,2,2,5,2,2,1
277,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,300,300,40,10000,200,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,1,1,1,1,1,1,Indifferent,Online,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,2,2,1,1,2,3,4,1,5
278,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",300,300,50,20000,200,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,0,0,1,0,1,1,1,1,0,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,2,2,1,2,5,4,1,1
279,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",255,350,40,20000,180,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,0,1,1,0,1,1,1,1,0,1,Digital,Offline,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,1,2,1,1,4,1,1,4
280,55+,Female,Mumbai,"Above Rs. 5,00,000","Yes, for the whole household",400,600,80,20000,300,Fairly Charged,Fairly Charged,Undercharged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,0,1,Digital,Online,Spontaneous,Indifferent,More than 20%,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,0,1,1,5,4,5,3
281,35-54,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",400,400,50,10000,340,Overcharged,Fairly Charged,Undercharged,Overcharged,Overcharged,0,0,0,0,0,0,0,0,0,0,Digital,Offline,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,2,1,0,2,2,4,1,1,2
282,25-34,Female,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",450,250,60,9000,400,Undercharged,Fairly Charged,Undercharged,Fairly Charged,Undercharged,0,0,1,0,1,1,1,1,0,1,Digital,Offline,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Overestimated,Accurate,Overestimated,0,1,0,1,0,4,2,3,3
283,35-54,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,250,40,15000,400,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,1,0,1,1,1,0,0,1,Digital,Offline,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Accurate,Accurate,Overestimated,Overestimated,2,2,2,2,2,5,1,1,1
284,25-34,Male,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,400,40,15000,700,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,0,1,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,1,1,1,1,5,5,2,2
285,25-34,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",400,550,40,25000,650,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,2,1,1,2,2,5,4,3,3
286,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",350,400,30,22000,600,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,0,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,1,5,5,5,4
287,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,350,200,40,6000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,0,0,1,0,1,1,1,1,0,1,Digital,Offline,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Accurate,Accurate,Underestimated,Accurate,2,2,1,2,1,5,1,5,5
288,35-54,Female,Other,"Rs. 50,000- 2,00,000",No,150,280,30,15000,600,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,1,0,1,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Underestimated,Accurate,Underestimated,Overestimated,Overestimated,1,2,1,2,2,5,4,4,2
289,35-54,Female,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",250,400,40,15000,90,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,0,0,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,1,1,5,3,1,1
290,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000",No,300,500,40,15000,90,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,0,1,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,1,1,2,1,5,5,5,1
291,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,450,40,10000,180,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Indifferent,Indifferent,Spontaneous,More Frequent,0.05,,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,2,1,2,1,2,3,3,4,5
